orig.ident,cell_type_main,immune_status,group,n,freq
L21cov,Endothelial cells,Non-immune,COVID-19,144,0.042043796
L21cov,Epithelial cells,Non-immune,COVID-19,789,0.230364964
L21cov,Fibroblasts,Non-immune,COVID-19,318,0.092846715
L21cov,Mast cell-like,Immune,COVID-19,70,0.020437956
L21cov,Myeloid,Immune,COVID-19,912,0.266277372
L21cov,Neuron-like cells,Non-immune,COVID-19,18,0.005255474
L21cov,T cells,Immune,COVID-19,1019,0.297518248
L22cov,APC-like,Immune,COVID-19,31,0.004436811
L22cov,B cells,Immune,COVID-19,644,0.092171175
L22cov,Endothelial cells,Non-immune,COVID-19,165,0.023615286
L22cov,Epithelial cells,Non-immune,COVID-19,964,0.137970517
L22cov,Fibroblasts,Non-immune,COVID-19,1722,0.246457707
L22cov,Mast cell-like,Immune,COVID-19,7,0.001001861
L22cov,Myeloid,Immune,COVID-19,1858,0.265922427
L22cov,Neuron-like cells,Non-immune,COVID-19,88,0.012594819
L22cov,T cells,Immune,COVID-19,1508,0.215829397
